Shimmer_B640_Timestamp_FormattedUnix_CAL,Shimmer_B640_PPG_A13_CAL
yyyy/mm/dd hh:mm:ss.000,mV
51:21.6,1239.56044
51:21.6,1239.56044
51:21.6,1238.095238
51:21.6,1236.630037
51:21.6,1235.897436
51:21.6,1232.967033
51:21.6,1232.234432
51:21.7,1233.699634
51:21.7,1233.699634
51:21.7,1237.362637
51:21.7,1244.688645
51:21.7,1257.875458
51:21.7,1276.190476
51:21.7,1301.831502
51:21.7,1334.065934
51:21.7,1371.428571
51:21.7,1414.652015
51:21.7,1462.271062
51:21.7,1513.553114
51:21.8,1569.230769
51:21.8,1621.978022
51:21.8,1670.32967
51:21.8,1714.285714
51:21.8,1750.18315
51:21.8,1777.289377
51:21.8,1798.534799
51:21.8,1810.25641
51:21.8,1817.582418
51:21.8,1817.582418
51:21.8,1813.186813
51:21.8,1803.663004
51:21.8,1794.139194
51:21.9,1785.347985
51:21.9,1773.626374
51:21.9,1760.43956
51:21.9,1742.124542
51:21.9,1720.14652
51:21.9,1698.168498
51:21.9,1674.725275
51:21.9,1651.282051
51:21.9,1630.769231
51:21.9,1610.989011
51:21.9,1594.139194
51:21.9,1581.684982
51:21.9,1570.695971
51:22.0,1561.172161
51:22.0,1553.113553
51:22.0,1547.985348
51:22.0,1543.589744
51:22.0,1542.124542
51:22.0,1542.857143
51:22.0,1543.589744
51:22.0,1544.322344
51:22.0,1546.520147
51:22.0,1547.985348
51:22.0,1547.985348
51:22.0,1545.054945
51:22.0,1540.659341
51:22.1,1531.868132
51:22.1,1519.413919
51:22.1,1503.296703
51:22.1,1487.912088
51:22.1,1471.062271
51:22.1,1452.014652
51:22.1,1432.234432
51:22.1,1410.25641
51:22.1,1389.010989
51:22.1,1368.498168
51:22.1,1348.717949
51:22.1,1330.40293
51:22.1,1316.483516
51:22.2,1306.227106
51:22.2,1297.435897
51:22.2,1292.307692
51:22.2,1286.446886
51:22.2,1282.051282
51:22.2,1277.655678
51:22.2,1273.260073
51:22.2,1269.59707
51:22.2,1266.666667
51:22.2,1263.003663
51:22.2,1258.608059
51:22.2,1256.410256
51:22.3,1257.142857
51:22.3,1254.945055
51:22.3,1249.084249
51:22.3,1242.490842
51:22.3,1236.630037
51:22.3,1230.769231
51:22.3,1226.373626
51:22.3,1221.245421
51:22.3,1218.315018
51:22.3,1217.582418
51:22.3,1218.315018
51:22.3,1220.512821
51:22.3,1223.443223
51:22.4,1224.908425
51:22.4,1225.641026
51:22.4,1225.641026
51:22.4,1226.373626
51:22.4,1227.106227
51:22.4,1226.373626
51:22.4,1227.838828
51:22.4,1227.838828
51:22.4,1228.571429
51:22.4,1232.234432
51:22.4,1234.432234
51:22.4,1236.630037
51:22.4,1237.362637
51:22.5,1238.827839
51:22.5,1239.56044
51:22.5,1239.56044
51:22.5,1240.29304
51:22.5,1239.56044
51:22.5,1238.095238
51:22.5,1238.827839
51:22.5,1238.827839
51:22.5,1238.095238
51:22.5,1241.758242
51:22.5,1243.956044
51:22.5,1243.223443
51:22.5,1245.421245
51:22.6,1244.688645
51:22.6,1244.688645
51:22.6,1243.956044
51:22.6,1242.490842
51:22.6,1240.29304
51:22.6,1238.095238
51:22.6,1235.897436
51:22.6,1235.164835
51:22.6,1232.967033
51:22.6,1233.699634
51:22.6,1233.699634
51:22.6,1235.164835
51:22.7,1235.164835
51:22.7,1232.234432
51:22.7,1230.769231
51:22.7,1232.234432
51:22.7,1235.897436
51:22.7,1242.490842
51:22.7,1252.747253
51:22.7,1268.864469
51:22.7,1290.842491
51:22.7,1320.879121
51:22.7,1360.43956
51:22.7,1405.860806
51:22.7,1455.677656
51:22.8,1509.89011
51:22.8,1565.567766
51:22.8,1623.443223
51:22.8,1678.388278
51:22.8,1730.40293
51:22.8,1776.556777
51:22.8,1818.315018
51:22.8,1852.014652
51:22.8,1875.457875
51:22.8,1891.575092
51:22.8,1902.564103
51:22.8,1906.227106
51:22.8,1906.959707
51:22.9,1901.098901
51:22.9,1892.307692
51:22.9,1879.85348
51:22.9,1862.271062
51:22.9,1841.758242
51:22.9,1821.245421
51:22.9,1798.534799
51:22.9,1777.289377
51:22.9,1756.776557
51:22.9,1734.798535
51:22.9,1712.087912
51:22.9,1694.505495
51:22.9,1678.388278
51:23.0,1667.399267
51:23.0,1660.805861
51:23.0,1657.142857
51:23.0,1655.677656
51:23.0,1657.142857
51:23.0,1658.608059
51:23.0,1660.07326
51:23.0,1660.07326
51:23.0,1660.805861
51:23.0,1659.340659
51:23.0,1654.945055
51:23.0,1649.084249
51:23.0,1636.630037
51:23.1,1619.047619
51:23.1,1599.267399
51:23.1,1575.824176
51:23.1,1550.18315
51:23.1,1526.739927
51:23.1,1503.296703
51:23.1,1479.85348
51:23.1,1459.340659
51:23.1,1439.56044
51:23.1,1423.443223
51:23.1,1410.25641
51:23.1,1396.336996
51:23.1,1383.150183
51:23.2,1372.161172
51:23.2,1357.509158
51:23.2,1344.322344
51:23.2,1330.40293
51:23.2,1319.413919
51:23.2,1309.157509
51:23.2,1301.098901
51:23.2,1295.238095
51:23.2,1288.644689
51:23.2,1282.783883
51:23.2,1280.586081
51:23.2,1280.586081
51:23.3,1280.586081
51:23.3,1279.85348
51:23.3,1276.923077
51:23.3,1273.992674
51:23.3,1271.062271
51:23.3,1267.399267
51:23.3,1264.468864
51:23.3,1260.805861
51:23.3,1259.340659
51:23.3,1257.142857
51:23.3,1257.142857
51:23.3,1255.677656
51:23.3,1255.677656
51:23.4,1253.479853
51:23.4,1250.549451
51:23.4,1247.619048
51:23.4,1245.421245
51:23.4,1241.758242
51:23.4,1237.362637
51:23.4,1235.897436
51:23.4,1235.897436
